This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Thu Nov 03 2016 21:09:07 GMT-0400 (Eastern Daylight Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"Gracie_Wiley",""You have to kill a couple hours, but there's a pool at our hotel"

Me: https://t.co/GbaJ64tbZ6","Fri Nov 04 01:10:08 +0000 2016","null","null","North Carolina, USA"
"bayleymorgannnn","@666mbg They are going to offend some leader somewhere and they are going to want to go to war","Fri Nov 04 01:10:10 +0000 2016","The boro","null","North Carolina, USA"
"Kinglopez__","Thursday night football always makes thursdays better","Fri Nov 04 01:10:11 +0000 2016","Atlanta,GA","null","Georgia, USA"
"Infomedia24hrs","#REVISTAS 🇪🇸 #AUTOMOVIL Noviembre 2016 PDF  https://t.co/T9o9ZFmIx3     #JuevesIntratable  #JuevesDeGanarSeguidores… https://t.co/DqGlsGg0j9","Fri Nov 04 01:10:10 +0000 2016","Buenos Aires - Argentina","null","Carolina del Norte, USA"
"BooThang411","Zack❤️❤️ https://t.co/AArmuiysWr","Fri Nov 04 01:10:15 +0000 2016","Pine Mountain, GA.","null","Georgia, USA"
"LB_OneOfKind","Awwww crap please don't tell me @MATTHARDYBRAND has amnesia now #IMPACTonPOP","Fri Nov 04 01:10:15 +0000 2016","The Land of TNA, PROUD TNA Fan","null","Atlanta, GA"
"jmj4life7","Ruthie u can leave now, all U do is doze off https://t.co/bLiVpsPVkT","Fri Nov 04 01:10:15 +0000 2016","usa","null","Georgia, USA"
"Brooklyn_grace7","Can it please stop being so hot outside so I can finally wear my cute fall clothes","Fri Nov 04 01:10:15 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"PaulDouglasHale","#Election2016 #Facebook #Zuckerberg Host Blocked Media Zero Good Sam Emory Grady Refused HCL Poison #BostonStrong… https://t.co/cYvf7G0bsh","Fri Nov 04 01:10:16 +0000 2016","Flovilla Georgia US 30216-2105","null","Georgia, USA"
"xo_Deonna","don't stress boo, whatever happen , happens .....","Fri Nov 04 01:10:17 +0000 2016","null","null","North Carolina, USA"
"lacedboutique1","Size 10.5 Price $160 DS. #kicks #customadidas #ic3ysole #huarache #customdope #jordan #jordans… https://t.co/gVLwk1UvHy","Fri Nov 04 01:10:18 +0000 2016","301 Evans st. Greenville, NC","[object Object]","North Carolina, USA"
"Kinglopez__","#RiseUp","Fri Nov 04 01:10:18 +0000 2016","Atlanta,GA","null","Georgia, USA"
"carliaowens","Being nice gets you so far, yet it gets you nowhere at the same time...","Fri Nov 04 01:10:21 +0000 2016","null","null","Georgia, USA"
